Primary Authority	Organisation Name	Partnership Type	Regulatory Functions
Northamptonshire County Council	Cherwell Valley Silos Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire West and Chester Council	Cheshire Oaks Designer Outlet	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	Chestnut Trading Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Eastleigh Borough Council	Chiltern Safety Limited	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Durham County Council	Chisholm Bookmakers Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	Choice Care Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Church & Dwight UK Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Cineworld Cinemas Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Buckinghamshire Fire & Rescue Service	Cineworld Cinemas Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
St Helens Metropolitan Borough Council	City Facilities Management Holdings UK Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Pembrokeshire County Council	CK's Supermarkets Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Birmingham City Council	Claire's Accessories UK Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Clasado Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	CLC Finance	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Fire & Rescue Service	Clydesdale Bank PLC	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Mole Valley District Council	Coca-Cola European Partners Great Britain Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Coca-Cola European Partners Great Britain Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Manchester City Council	Cohens Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Colgate - Palmolive (U.K.) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Dorset & Wiltshire Fire and Rescue Service	Colten Care Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reigate and Banstead Borough Council	Commercial Services, Surrey County Council	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Barnsley Metropolitan Borough Council	Company Shop Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Gloucestershire County Council	Conformity and Compliance Consultants	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Central Bedfordshire Council	Connells Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	CONNOCO SERVICES LIMITED	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Conquest Personal Care Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Consumer Code for New Homes Ltd	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Solihull Metropolitan Borough Council	Contact Sourcing Ltd.	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Continental Wine & Food Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire County Council	Conviviality PLC	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Cook Kitchens Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Greater Manchester Fire & Rescue Service	Co-operative Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Manchester City Council	Co-operative Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Greater Manchester Fire & Rescue Service	Co-operative Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	Coopland & Son (Scarborough) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Scarborough Borough Council	Coopland & Son (Scarborough) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Coral Racing Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Newham	Coral Racing Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Coral Windows Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Corkers Crisps Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cornwall Council	Cornish Orchards Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Costco Wholesale UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Luton Borough Council	Costco Wholesale UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of York Council	Costcutter	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Cote Restaurants Group Holdings Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
South Norfolk District Council	Country Kitchen Foods (Norfolk) LTD	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cumbria County Council	Country Puddings Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Sandwell Metropolitan Borough Council	Cousins Furniture Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	C.P. Foods	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Horsham District Council	Craft Bakers Association	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Wakefield Council	Crawshaw Group PLC	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Creams Franchising Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Created4Kids Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	Creative Products Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Creative Tops Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Rushcliffe Borough Council	Cropwell Bishop Creamery Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	Cropwell Bishop Creamery Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	CSC Imports Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Merton	Cubetag Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bristol City Council	Culina Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Cuttwood, LLC	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Cytoinnovations	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Brent	Dabur International Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Stockport Metropolitan Borough Council	Dace Motor Company Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Mole Valley District Council	Dairy Crest Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Dairy Crest Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Damartex UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Daniel Galvin Jnr Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Ealing	Danone	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire East Council	Darlington and Daughters	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cornwall Council	DCH	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Debenhams Retail Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Debit Finance	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Doncaster Metropolitan Borough Council	Decidebloom Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire East Council	Delamere Dairy Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Deli24 Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bracknell Forest Council	Dell	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Del Monte (UK) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent Fire & Rescue Service	Demelza Hospice Care for Children	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Derbyshire County Council	Denby Holdings Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Devon County Council	Devon Norse Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Brent	Diageo PLC	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Dial-A-TV	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lancaster City Council	Diggles Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	Dimensions (UK) Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Direct Buying Consultants Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Sandwell Metropolitan Borough Council	Direct Healthcare t/a Chemist Direct	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	DKL-Marketing Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	D Macintyre	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Dodson & Horrell Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Wigan Metropolitan Borough Council	Dolce Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Domino's Pizza	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Dominos Pizza UK and Ireland Limited	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Peterborough City Council	Dora Designs Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Dorel UK LTD	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	Double A Kebab Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Dreams Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	DSG Retail Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Charnwood Borough Council	Dunelm (Soft Furnishings) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Leicestershire County Council	Dunelm (Soft Furnishings) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Dunhills (Pontefract) plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Vale of Glamorgan Council	Dunraven Manufacturing Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Monmouthshire County Council	Dwr Cymru Welsh Water	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Dynamode UK Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Fire & Rescue Service	East Coast Main Line Company	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Sandwell Metropolitan Borough Council	East End Foods Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Blackburn with Darwen Borough Council	East Lancashire Hospital Trust	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Essex Fire & Rescue Service	East of England Co-operative Society Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Ipswich Borough Council	East of England Co-operative Society Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Easy Mobility Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	eBay International AG	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	E Botham & Sons Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Warrington Borough Council	Ego Restaurants Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lancashire Fire & Rescue Service	EH Booths and Co Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Preston City Council	EH Booths and Co Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Midlands Fire & Rescue Service	Ei Group plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Ei Group plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Electronic Cigarettes Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Elgate Products Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire East Council	Elior UK plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	Ella's Kitchen (Brands) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Derbyshire Fire & Rescue Service	emh group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Luton Borough Council	Empire Cinemas Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Enterprise Rent-A-Car UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Norfolk County Council	Entu (UK)  Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Vale of Glamorgan Council	Essilor UK & Ireland	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Mole Valley District Council	Esso Petroleum Company Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Esso Petroleum Company Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Staffordshire County Council	ESTERCHEM LTD	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Euro Compliance Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Euro Food Brands Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire County Council	Eurotank Service Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Everything Everywhere Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Excellent Food Company Yorkshire Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Faccenda Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Fading Footprints	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Vale of Glamorgan Council	Falcon Installations Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Family Mosaic Housing	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Royal Borough of Greenwich	FareShare	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	Farmer Fear LLP	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	Farrah's of Harrogate Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Farrington Oils Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire East Council	Fayrefield Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Sussex County Council	Feather and Black Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Salford City Council	FE Barber Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Federation of Master Builders Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Fiat	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Devon County Council	Fiesta Studios Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Vale of Glamorgan Council	Filco Supermarkets Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	First Home Improvements (England) Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire Fire & Rescue Service	FirstPort	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	First Response	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Sussex County Council	Fizz Creations Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Flexel (UK) Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Eastleigh Borough Council	Flip Out Trampoline Arenas	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	Fold Hill Foods Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Royal Borough of Greenwich	Food Alert Ltd	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	FOODCO UK LLP	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Horsham District Council	Food Hygiene Solutions Group Limited	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Food Storage and Distribution Federation	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Essex County Council	Ford Retail Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Berkshire Council	Fork Lift Truck Association Ltd	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Stevenage Borough Council	Formula One Auto Centres Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Fortnum & Mason	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Forum Products Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Forza Industries Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lancashire Fire & Rescue Service	Four Seasons Healthcare Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Fox Narrow Boats Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire West and Chester Council	Frank Roberts & Sons Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Derbyshire County Council	Frank Wright Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Freeman Grattan	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire East Council	Freshpack Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Friends of the Elderly	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Frutarom (UK) Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Fry's Family Foods (PTY) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Fudge Kitchen Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Fulcrum Health Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	Fuller Smith & Turner PLC	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Fullgreen Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Funeral Plan Market Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Fun Shack (UK) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Furniture Village Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Furniture Village Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	G4S Cash Solutions (UK) Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Fire & Rescue Service	Gala Bingo Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Birmingham City Council	Gala Bingo Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Worcestershire Regulatory Services	Galloping Gourmet Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Wigan Metropolitan Borough Council	Galloways Bakers Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Gap	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Garbanzo Snacks Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	G Atherley & Sons Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire County Council	GDC Group Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of York Council	Gear4music	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	GIFT UNIVERSE GROUP LIMITED	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Devon County Council	Giftworks Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	Gilmoor Foods Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Harrogate Borough Council	Gilmoor Foods Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cornwall Council	Ginsters (a division of samworth Brothers Ltd.)	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	Giorgio's Continental Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Giraffe Concepts	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Isle of Anglesey County Council	Glanbia Cheese Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Glebe Farm Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Salford City Council	Glendale Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Knowsley Metropolitan Borough Council	Glen Dimplex Home Appliances Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Monmouthshire County Council	Global Furniture Alliance Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Derbyshire County Council	Glossop Caravans Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Gnaw Chocolate Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire West and Chester Council	Go Ape!	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Warwick District Council	Go Jump In Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Golden Acre Dairy Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Goldex Investments Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Dartford Borough Council	Goldex Investments Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Gordon Rhodes & Son Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of London	Gourmet Burger Kitchen Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	GPEA Ltd	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Grace Foods UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Oxfordshire County Council	Grafton Merchanting GB	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Woking Borough Council	Graham White & Co	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Graham White & Co	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Grandma Wild's Biscuits	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Granovita U.K. Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Wakefield Council	Gravity Fitness Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Great Food Ltd.	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of York Council	Great Rail Journeys	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Glasgow City Council	Greenbelt Group Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	Greene King	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Green Elephant Trading Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Green Energy Options Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Green Motion Car and Van Rental Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Worcestershire County Council	Green Sheep Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	GREENVALE AP LTD	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Royal Borough of Greenwich	Greenwich Leisure Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	Greenyard Frozen UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	Greggs Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Newcastle upon Tyne City Council	Greggs Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Grosvenor Consumer Products	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Groupe SEB UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Grove Products (caravan accessories) ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	G's Fresh Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Kesteven District Council	G. Simpson Butchers Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Habitat Retail Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Haier Appliances UK Co Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Hain Daniels Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Worcestershire County Council	Halfords Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Eastleigh Borough Council	Hall and Woodhouse	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of York Council	Hall & Associates (Marketing) Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Hallmark Card Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
South Northamptonshire Council	Hallmark Care Homes Group Holdings Ltd	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Hancock (UK) Ltd trading as London Wok	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Fire & Rescue Service	Hanover Housing Association	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of London	Harbour & Jones Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
